score,time
89.86861845564222,0.005340800000000007
89.06358031176111,0.00819579999999999
92.0145266292696,0.008533100000000016
87.33980704631458,0.009550400000000014
87.33980704631458,0.023802899999999988
87.33980704631458,0.01129640000000004
92.75934465091903,0.005476700000000001
88.78901360485746,0.0176539
86.2289121832427,0.012685600000000019
87.31152137655808,0.02418560000000003
89.64415135573341,0.009669800000000006
87.02190414041175,0.014284300000000028
92.65500771669662,0.01837859999999991
86.69692555917389,0.009210900000000022
91.30614799002133,0.013858499999999996
92.93371214383292,0.010161799999999999
90.96197580850612,0.008677600000000063
90.96197580850612,0.01653339999999992
93.04391744889575,0.02097579999999999
89.95164046349879,0.009621099999999938
87.85264139194163,0.011347099999999943
92.64911564436134,0.007663199999999981
91.79716839841001,0.019204800000000022
88.76703720671992,0.022590600000000016
87.71351328059123,0.009366100000000044
90.96723074431031,0.00516609999999984
96.27756048445774,0.010317099999999968
88.81611567161416,0.018986100000000006
93.53405702940465,0.01106549999999995
87.02190414041175,0.009393500000000055
92.4656655741876,0.012199999999999989
90.64442371445877,0.00766369999999994
93.96116779976454,0.0063902000000000125
88.54633866449551,0.026483000000000034
92.56909797903543,0.0156539
87.33980704631458,0.018675799999999798
87.27058557727263,0.014995599999999998
92.98891371795214,0.018339899999999965
91.75896736024931,0.011562800000000095
87.85264139194163,0.007873000000000019
93.28058589275874,0.008124400000000032
90.42699374536885,0.010114300000000132
89.75430862406084,0.011350399999999983
93.45704370660937,0.010562599999999867
93.60327849844661,0.014305500000000082
92.34945377262581,0.021548399999999912
88.54633866449551,0.010941700000000054
91.31887934999986,0.005288900000000041
94.3842906563319,0.008214600000000072
89.73431542635328,0.017346899999999943
